DIRECTION,FACTOR_CODE,FACTOR_VALUE,FACTOR_VALUE_SEQ,LOAD_DATA_TS,REASON_UNIQUE_ID,SERVICE_ROLE_TYPE,STATEMENT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           <endrec>
"C","10002","1001,1002","","","937288824","2","Salary Payment from {DebitParty} via API"<endrec>
"C","10002","1001,1002","","","937288825","2","Salary Payment from {DebitParty} via API"<endrec>
"C","10002","1002","","","937288828","2","Deposit of Funds at Agent Till {DebitParty} by {Initiator}"<endrec>
"C","10002","1000","","","937288829","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937289824","2","Deposit of Funds at Agent Till {DebitParty} by {Initiator}"<endrec>
"C","10002","1002,1000","","","937289833","2","Funds received from {DebitParty} with ID 2 factor auth"<endrec>
"C","10002","1002","","","937290820","2","Deposit of Funds at Agent Till {DebitParty} by {Initiator}"<endrec>
"C","10002","1000","","","937290828","2","Funds received from {DebitParty}"<endrec>
"C","10002","1000","","","937290829","2","Funds received from {DebitParty}"<endrec>
"C","10002","1001,1002","","","937290838","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937290841","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002","","","937290848","2",""<endrec>
"C","10002","1002","","","937297820","2",""<endrec>
"C","10002","1001,1002","","","937297843","2","Funds received from {DebitParty}"<endrec>
"C","10002","1001,1002","","","937297844","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002,1000","","","937297845","2","Funds received from {DebitParty} with ID 2 factor auth"<endrec>
"C","10002","1001,1002","","","937298820","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002,1000","","","937298834","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002,1000","","","937298841","2","Funds received from {DebitParty} with ID 2 factor auth"<endrec>
"C","10002","1002","","","937300819","2",""<endrec>
"C","10002","1002,1000","","","937302820","2","Funds received from {DebitParty}"<endrec>
"C","10002","1001,1002","","","937302821","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002,1000","","","937302842","2","Funds received from {DebitParty} with ID 2 factor auth"<endrec>
"C","10002","1001,1002","","","937308869","2","Salary Payment from {DebitParty} via API"<endrec>
"C","10002","1001,1002","","","937308871","2","Business Payment from {DebitParty} via API"<endrec>
"C","10002","1002","","","937308890","2",""<endrec>
"C","10002","1002,1000","","","937308913","2","Funds received from {DebitParty}"<endrec>
"C","10002","1000","","","937308914","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002,1000","","","937308916","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002,1000","","","937308917","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937308933","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002,1000","","","937311878","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002,1000","","","937311879","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937313858","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002","","","937313862","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002","","","937314854","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1001,1002","","","937325900","2","Promotion Payment from {DebitParty} via API"<endrec>
"C","10002","1001,1002","","","937325901","2","Salary Payment from {DebitParty} via API"<endrec>
"C","10002","1002","","","937327914","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002","","","937327959","2","Dividend Funds Received from {DebitParty}"<endrec>
"C","10002","1002","","","937328875","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002","","","937328877","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1000","","","937328878","2","Send Money to Unregistered User via Web by {Initiator}"<endrec>
"C","10002","1002","","","937328891","3","M-Shwari Withdraw"<endrec>
"C","10002","1002","","","937329893","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002,1000","","","937329903","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002,1000","","","937329908","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937329914","2","Deposit at Agent Store via Web by {Initiator}"<endrec>
"C","10002","1002,1000","","","937330877","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002,1000","","","937330898","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937331879","2","Deposit at Agent Store via Web by {Initiator}"<endrec>
"C","10002","1002","","","937331883","2","Deposit at Agent Store via Web by {Initiator}"<endrec>
"C","10002","1001,1002","","","937332904","2","Salary Payment from {DebitParty} via API"<endrec>
"C","10002","1001,1000","","","937336873","2","Send Money to Unregistered User via Web by {Initiator}"<endrec>
"C","10002","1001,1000","","","937336877","2","Send Money to Unregistered User via Web by {Initiator}"<endrec>
"C","10002","1002","","","937338887","2",""<endrec>
"C","10002","1001,1000","","","937339874","2","Send Money to Unregistered User via Web by {Initiator}"<endrec>
"C","10002","1002","","","937339886","2",""<endrec>
"C","10002","1002","","","937340872","2",""<endrec>
"C","10002","1001,1000","","","937340883","2","Send Money to Unregistered User via Web by {Initiator}"<endrec>
"C","10002","1001,1000","","","937340884","2","Send Money to Unregistered User via Web by {Initiator}"<endrec>
"C","10002","1002","","","937340889","2","Deposit at Agent Store via Web by {Initiator}"<endrec>
"C","10002","1001,1000","","","937340908","2","Send Money to Unregistered User via Web by {Initiator}"<endrec>
"C","10002","1000","","","937340971","2","Salary Payment from {DebitParty} via WEB by {Initiator}"<endrec>
"C","10002","1002","","","937341883","2","Deposit of Funds at ATM {DebitParty} by {Initiator}"<endrec>
"C","10002","1002","","","937342897","2",""<endrec>
"C","10002","1002","","","937342906","2",""<endrec>
"C","10002","1002","","","937347963","2",""<endrec>
"C","10002","1002","","","937347964","2",""<endrec>
"C","10002","1002","","","937351952","2",""<endrec>
"C","10002","1002","","","937353955","2",""<endrec>
"C","10002","1002,1000","","","937356945","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937356948","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002,1000","","","937356951","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937356953","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1001,1002,1000","","","937358013","2","Business Payment from {DebitParty} via API"<endrec>
"C","10002","1001,1002","","","937358014","2","Funds received from Business {DebitParty}"<endrec>
"C","10002","1002","","","937358015","2","Funds received from Business {DebitParty}"<endrec>
"C","10002","1002,1000","","","937358044","2","Funds received from {DebitParty}"<endrec>
"C","10002","1001,1002,1000","","","937358052","2","Salary Payment with Withdraw Charge from {CreditParty} WEB by {Initiator}"<endrec>
"C","10002","1001,1002,1000","","","937358053","2","Salary Payment with Withdraw Charge from {CreditParty} WEB by {Initiator}"<endrec>
"C","10002","1002","","","937358998","2","Deposit at Agent Store via Web by {Initiator}"<endrec>
"C","10002","1002","","","937359018","2","Business Payment with Withdraw Charge from {DebitParty}"<endrec>
"C","10002","1002","","","937359019","2","Business Payment with Withdraw Charge from {DebitParty}"<endrec>
"C","10002","1001,1002,1000","","","937359030","2","Business Payment from {DebitParty} via API"<endrec>
"C","10002","1001,1002,1000","","","937359036","2","Business Payment from {DebitParty} via API"<endrec>
"C","10002","1002","","","937359040","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002","","","937359041","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002,1000","","","937359057","2","Funds received from {DebitParty}"<endrec>
"C","10002","1001,1002","","","937359079","2","Funds received from Business {DebitParty}"<endrec>
"C","10002","1002","","","937359080","2","Funds received from Business {DebitParty}"<endrec>
"C","10002","1002","","","937359094","2","Deposit at Agent Store via Web by {Initiator}"<endrec>
"C","10002","1002","","","937359095","2","Deposit at Agent Store via Web by {Initiator}"<endrec>
"C","10002","1002","","","937359096","2","Deposit at Agent Store via Web by {Initiator}"<endrec>
"C","10002","1001,1002","","","937360012","2","Business Payment from {DebitParty} via API"<endrec>
"C","10002","1001,1002,1000","","","937360013","2","Business Payment from {DebitParty} via API"<endrec>
"C","10002","1002,1000","","","937360017","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002,1000","","","937360018","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937365090","2","Deposit at Agent Store via Web by {Initiator}"<endrec>
"C","10002","1002","","","937365091","2","Deposit at Agent Store via Web by {Initiator}"<endrec>
"C","10002","1002","","","937365222","2","Deposit at Agent Store via Web by {Initiator}"<endrec>
"C","10002","1002","","","937365224","2","Deposit at Agent Store via Web by {Initiator}"<endrec>
"C","10002","1002","","","937365225","2","Deposit at Agent Store via Web by {Initiator}"<endrec>
"C","10002","1002","","","937369397","3","M-Shwari Loan Request"<endrec>
"C","10002","1002","","","937369400","3","M-Shwari Loan Request"<endrec>
"C","10002","1002","","","937369412","2","M-Shwari Final Payout"<endrec>
"C","10002","1002,1000","","","937371566","2","Funds received from {DebitParty} with ID 2 factor auth"<endrec>
"C","10002","1002,1000","","","937371567","2","Funds received from {DebitParty} with ID 2 factor auth"<endrec>
"C","10002","1002","","","937371578","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1001,1002,1000","","","937371580","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002,1000","","","937371586","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937371587","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002,1000","","","937374440","2","Funds received from {DebitParty} with ID 2 factor auth"<endrec>
"C","10002","1002","","","937375439","2","M-Shwari Final Payout"<endrec>
"C","10002","1000","","","937376593","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937376594","2","Funds received from {DebitParty}"<endrec>
"C","10002","1000","","","937376635","2","Funds received from {DebitParty}"<endrec>
"C","10002","1000","","","937376645","2","Funds received from {DebitParty}"<endrec>
"C","10002","1000","","","937376648","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937377435","2",""<endrec>
"C","10002","1002","","","937377442","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002","","","937377448","2","Dividend Funds Received from {DebitParty}"<endrec>
"C","10002","1002","","","937377452","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937377453","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937377462","2",""<endrec>
"C","10002","1002","","","937377480","3","M-Shwari Loan Request"<endrec>
"C","10002","1002,1000","","","937377482","2","Funds received from {DebitParty} with ID 2 factor auth"<endrec>
"C","10002","1002","","","937379493","2","M-Shwari Final Payout"<endrec>
"C","10002","1002","","","937379494","2","M-Shwari Final Payout"<endrec>
"C","10002","1000","","","937379499","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937379500","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937380493","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937380525","3","M-Shwari Loan Disburse"<endrec>
"C","10002","1002,1000","","","937380528","2","Funds received from Business {DebitParty}"<endrec>
"C","10002","1002,1000","","","937380529","2","Salary Payment from {DebitParty}"<endrec>
"C","10002","1002","","","937380530","2","Salary Payment Withdrawal Charge Paid from {DebitParty}"<endrec>
"C","10002","1002","","","937380541","2","Business Payment with Withdraw Charge from {DebitParty}"<endrec>
"C","10002","1002","","","937381578","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937381579","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002,1000","","","937381596","2","Salary Payment Withdrawal Charge Paid from {DebitParty}"<endrec>
"C","10002","1002,1000","","","937381598","2","Business Payment with Withdraw Charge from {DebitParty}"<endrec>
"C","10002","1002","","","937381601","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937384572","2","Business Payment with Withdraw Charge from {DebitParty}"<endrec>
"C","10002","1002","","","937384573","2","Business Payment with Withdraw Charge from {DebitParty}"<endrec>
"C","10002","1002","","","937385556","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937387569","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002","","","937387570","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002,1000","","","937387576","2","Promotion Payment from {DebitParty}"<endrec>
"C","10002","1001,1002,1000","","","937388568","2","Salary Payment from {DebitParty}"<endrec>
"C","10002","1001,1000","","","937388570","2","B2C Payment Off-net"<endrec>
"C","10002","1001,1000","","","937388571","2","B2C Payment Off-net"<endrec>
"C","10002","1000","","","937389569","2","Funds received from {DebitParty}"<endrec>
"C","10002","1000","","","937389571","2","Funds received from {DebitParty}"<endrec>
"C","10002","1000","","","937389572","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937389574","2","Funds received from {DebitParty}"<endrec>
"C","10002","1000","","","937389579","2","Funds received from {DebitParty}"<endrec>
"C","10002","1000","","","937389580","2","Funds received from {DebitParty}"<endrec>
"C","10002","1000","","","937391577","2","Funds received from {DebitParty}"<endrec>
"C","10002","1000","","","937392612","2","Funds received from {DebitParty} with user reference"<endrec>
"C","10002","1002,1000","","","937392716","2","Funds received from {DebitParty} with ID 2 factor auth"<endrec>
"C","10002","1000","","","937392760","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937392761","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937392762","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002,1000","","","937392774","2","Deposit of Funds at Agent Till {DebitParty} by {Initiator}"<endrec>
"C","10002","1002,1000","","","937392777","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937392782","3","M-Shwari Loan Request"<endrec>
"C","10002","1002","","","937392783","3","M-Shwari Loan Request"<endrec>
"C","10002","1002,1000","","","937392808","2","Funds received from {DebitParty} with ID 2 factor auth"<endrec>
"C","10002","1002","","","937392809","2","Funds received from {DebitParty} with ID 2 factor auth"<endrec>
"C","10002","1002","","","937392859","2","Funds received from {DebitParty}"<endrec>
"C","10002","1000","","","937392862","2","Funds received from {DebitParty} with ID 2 factor auth"<endrec>
"C","10002","1000","","","937392864","2","Funds received from {DebitParty} with ID 2 factor auth"<endrec>
"C","10002","1000","","","937392877","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937392894","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937392895","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1001,1000","","","937393921","2","Send Money to Unregistered User via Web by {Initiator}"<endrec>
"C","10002","1001,1000","","","937393925","2","Send Money to Unregistered User via Web by {Initiator}"<endrec>
"C","10002","1002,1000","","","937393938","2","Deposit of Funds at Agent Till {DebitParty} by {Initiator}"<endrec>
"C","10002","1002,1000","","","937393940","2","Deposit of Funds at Agent Till {DebitParty} by {Initiator}"<endrec>
"C","10002","1002,1000","","","937393943","2","Deposit of Funds at Agent Till {DebitParty} by {Initiator}"<endrec>
"C","10002","1002","","","937394923","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002,1000","","","937395926","2",""<endrec>
"C","10002","1002","","","937396947","2","Business Payment with Withdraw Charge from {DebitParty}"<endrec>
"C","10002","1002,1000","","","937396987","2","Deposit of Funds at Agent Till {DebitParty} by {Initiator}"<endrec>
"C","10002","1002","","","937397007","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002","","","937397008","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002,1000","","","937403939","2","Funds received from {DebitParty}"<endrec>
"C","10002","1000","","","937403951","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937404997","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937404998","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937407013","2","Deposit at Agent Store via Web by {Initiator}"<endrec>
"C","10002","1002","","","937408057","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002,1000","","","937410034","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002,1000","","","937410036","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937411016","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937411093","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937411102","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002","","","937411117","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937411127","2","Deposit at Agent Store via Web by {Initiator}"<endrec>
"C","10002","1002,1000","","","937411128","2","Funds received from Business {DebitParty}"<endrec>
"C","10002","1002,1000","","","937411129","2","Funds received from Business {DebitParty}"<endrec>
"C","10002","1002","","","937411151","2","Funds received from {DebitParty}"<endrec>
"C","10002","1000","","","937413024","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937413025","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937413026","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937413032","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937413036","2","Funds received from {DebitParty}"<endrec>
"C","10002","1001,1002,1000","","","937413056","2","Salary Payment from {DebitParty}"<endrec>
"C","10002","1002","","","937414071","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937414091","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002,1000","","","937414134","2",""<endrec>
"C","10002","1002,1000","","","937414138","2",""<endrec>
"C","10002","1002,1000","","","937414150","2","Deposit of Funds at Agent Till {DebitParty} by {Initiator}"<endrec>
"C","10002","1001,1002,1000","","","937415067","2","Salary Payment from {DebitParty}"<endrec>
"C","10002","1002","","","937415081","2","Deposit at Agent Store via Web by {Initiator}"<endrec>
"C","10002","1002","","","937415109","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937415123","2","Funds received from {DebitParty}"<endrec>
"C","10002","1001,1002,1000","","","937415130","2","Salary Payment from {DebitParty}"<endrec>
"C","10002","1002,1000","","","937415208","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937415209","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937415210","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937415213","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002,1000","","","937415214","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937415215","2","Funds received from {DebitParty}"<endrec>
"C","10002","1000","","","937415224","2",""<endrec>
"C","10002","1002","","","937415226","2",""<endrec>
"C","10002","1000","","","937415235","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937415237","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002,1000","","","937415262","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937416081","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937416082","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937416083","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002","","","937416085","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002","","","937416086","2","Funds received from {DebitParty}"<endrec>
"C","10002","1000","","","937417076","2","Funds received from {DebitParty}"<endrec>
"C","10002","1000","","","937417089","2","Funds received from {DebitParty}"<endrec>
"C","10002","1000","","","937417090","2","Funds received from {DebitParty}"<endrec>
"C","10002","1001,1000","","","937417098","2","Send Money to Unregistered User via Web by {Initiator}"<endrec>
"C","10002","1002","","","937417099","2","Funds received from {DebitParty} with cert type 2 factor auth"<endrec>
"C","10002","1000","","","937417100","2","Funds received from {DebitParty}"<endrec>
"C","10002","1000","","","937417102","2","Funds received from {DebitParty}"<endrec>
"C","10002","1002","","","937417139","2","Funds received from {DebitParty}"<endrec>
"C","10002","1001,1002","","","937417189","2","Business Payment from {DebitParty} via WEB by {Initiator}"<endrec>
"C","10002","1000","","","937418068","2","Funds received from {DebitParty}"<endrec>
"C","10002","1001,1002,1000","","","937418114","2","Dividend Funds Received from {DebitParty}"<endrec>
"C","10002","1002","","","937418117","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002,1000","","","937418125","2","Business Payment with Withdraw Charge from {DebitParty}"<endrec>
"C","10002","1002,1000","","","937418128","2","Salary Payment Withdrawal Charge Paid from {DebitParty}"<endrec>
"C","10002","1002","","","937419132","2",""<endrec>
"C","10002","1002","","","937420158","2","Deposit at Agent Store via Web by {Initiator}"<endrec>
"C","10002","1002","","","937420164","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1002","","","937420165","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10002","1001,1002","","","937422150","2","Promotion Payment from {DebitParty} via API"<endrec>
"C","10002","1001,1002","","","937422151","2","Promotion Payment from {DebitParty} via API"<endrec>
