AUTHORIZ_AMOUNT,AUTHORIZ_CURRENCY,AUTHORIZ_MODE,CHANNEL,NEED_AUTHORIZ,REASON_INDEX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      <endrec>
"0","999","00","1005","FALSE","10003109"<endrec>
"0","999","00","1005","FALSE","10003160"<endrec>
"0","999","00","1005","FALSE","10003779"<endrec>
"0","CAD","00","1003","FALSE","10004171"<endrec>
"0","CAD","00","1005","FALSE","10003779"<endrec>
"0","CAD","00","1005","FALSE","10004171"<endrec>
"0","GBP","00","1002","TRUE","10000054"<endrec>
"0","GBP","00","1002","FALSE","10000056"<endrec>
"0","GBP","00","1002","FALSE","10000059"<endrec>
"100","GBP","00","1002","TRUE","10000097"<endrec>
"0","GBP","00","1002","FALSE","10000110"<endrec>
"0","GBP","00","1002","FALSE","10002401"<endrec>
"0","GBP","00","1002","FALSE","10002878"<endrec>
"0","GBP","00","1002","FALSE","10003279"<endrec>
"100","GBP","00","1003","TRUE","10000054"<endrec>
"0","GBP","00","1003","FALSE","10000056"<endrec>
"0","GBP","00","1003","FALSE","10000059"<endrec>
"0","GBP","00","1003","FALSE","10000097"<endrec>
"0","GBP","00","1003","FALSE","10000110"<endrec>
"0","GBP","00","1003","FALSE","10002401"<endrec>
"0","GBP","00","1003","FALSE","10002878"<endrec>
"0","GBP","00","1003","FALSE","10003279"<endrec>
"0","GBP","00","1003","FALSE","10004171"<endrec>
"0","GBP","00","1005","TRUE","10000007"<endrec>
"0","GBP","00","1005","FALSE","10000008"<endrec>
"0","GBP","00","1005","FALSE","10000009"<endrec>
"100","GBP","00","1005","TRUE","10000057"<endrec>
"0","GBP","00","1005","FALSE","10000071"<endrec>
"0","GBP","00","1005","FALSE","10000133"<endrec>
"0","GBP","00","1005","FALSE","10000136"<endrec>
"0","GBP","00","1005","FALSE","10000156"<endrec>
"0","GBP","00","1005","FALSE","10002401"<endrec>
"0","GBP","00","1005","FALSE","10002819"<endrec>
"0","GBP","00","1005","FALSE","10002878"<endrec>
"0","GBP","00","1005","FALSE","10003279"<endrec>
"0","GBP","00","1005","FALSE","10003779"<endrec>
"0","GBP","00","1005","FALSE","10004171"<endrec>
"0","GBP","00","1010","FALSE","10000097"<endrec>
"100","GBP","00","1010","TRUE","10000110"<endrec>
"0","GBP","00","1010","FALSE","10000132"<endrec>
"0","GBP","00","1010","FALSE","10000133"<endrec>
"0","GBP","00","1010","FALSE","10002878"<endrec>
"0","GBP","00","1010","FALSE","10003279"<endrec>
"0","GBP","00","1012","FALSE","10000056"<endrec>
"0","GBP","00","1012","FALSE","10000071"<endrec>
"0","GBP","00","1012","FALSE","10000097"<endrec>
"0","GBP","00","1012","FALSE","10000120"<endrec>
"0","GBP","00","1012","FALSE","10002878"<endrec>
"0","TZS","00","1002","FALSE","10000002"<endrec>
"0","TZS","00","1002","FALSE","10000003"<endrec>
"0","TZS","00","1002","FALSE","10000004"<endrec>
"0","TZS","00","1002","FALSE","10000005"<endrec>
"0","TZS","00","1002","FALSE","10000006"<endrec>
"0","TZS","00","1002","FALSE","10000014"<endrec>
"0","TZS","00","1002","FALSE","10000015"<endrec>
"0","TZS","00","1002","FALSE","10000016"<endrec>
"0","TZS","00","1002","FALSE","10000017"<endrec>
"0","TZS","00","1002","FALSE","10000037"<endrec>
"0","TZS","00","1002","FALSE","10000038"<endrec>
"0","TZS","00","1002","FALSE","10000044"<endrec>
"0","TZS","00","1002","FALSE","10000045"<endrec>
"0","TZS","00","1002","FALSE","10000046"<endrec>
"0","TZS","00","1002","FALSE","10000048"<endrec>
"0","TZS","00","1002","FALSE","10000050"<endrec>
"0","TZS","00","1002","FALSE","10000054"<endrec>
"0","TZS","00","1002","FALSE","10000056"<endrec>
"0","TZS","00","1002","FALSE","10000059"<endrec>
"0","TZS","00","1002","FALSE","10000075"<endrec>
"0","TZS","00","1002","FALSE","10000077"<endrec>
"0","TZS","00","1002","FALSE","10000078"<endrec>
"0","TZS","00","1002","FALSE","10000081"<endrec>
"0","TZS","00","1002","FALSE","10000090"<endrec>
"0","TZS","00","1002","FALSE","10000096"<endrec>
"0","TZS","00","1002","FALSE","10000097"<endrec>
"0","TZS","00","1002","FALSE","10000101"<endrec>
"0","TZS","00","1002","FALSE","10000110"<endrec>
"100","TZS","00","1002","TRUE","10000134"<endrec>
"0","TZS","00","1002","FALSE","10000139"<endrec>
"0","TZS","00","1002","FALSE","10000157"<endrec>
"0","TZS","00","1002","FALSE","10000158"<endrec>
"0","TZS","00","1002","FALSE","10000159"<endrec>
"0","TZS","00","1002","FALSE","10000160"<endrec>
"0","TZS","00","1002","FALSE","10000161"<endrec>
"0","TZS","00","1002","FALSE","10000162"<endrec>
"0","TZS","00","1002","FALSE","10000163"<endrec>
"0","TZS","00","1002","FALSE","10000164"<endrec>
"0","TZS","00","1002","FALSE","10000165"<endrec>
"0","TZS","00","1002","FALSE","10000175"<endrec>
"0","TZS","00","1002","FALSE","10000176"<endrec>
"0","TZS","00","1002","FALSE","10000181"<endrec>
"0","TZS","00","1002","FALSE","10000182"<endrec>
"0","TZS","00","1002","TRUE","10000184"<endrec>
"0","TZS","00","1002","FALSE","10000208"<endrec>
"0","TZS","00","1002","TRUE","10000209"<endrec>
"0","TZS","00","1002","TRUE","10000210"<endrec>
"0","TZS","00","1002","TRUE","10000211"<endrec>
"0","TZS","00","1002","FALSE","10000248"<endrec>
"0","TZS","00","1002","FALSE","10000250"<endrec>
"0","TZS","00","1002","FALSE","10000256"<endrec>
"0","TZS","00","1002","FALSE","10000257"<endrec>
"0","TZS","00","1002","FALSE","10000258"<endrec>
"0","TZS","00","1002","FALSE","10000261"<endrec>
"0","TZS","00","1002","FALSE","10000263"<endrec>
"0","TZS","00","1002","FALSE","10000264"<endrec>
"0","TZS","00","1002","FALSE","10000265"<endrec>
"0","TZS","00","1002","FALSE","10000267"<endrec>
"0","TZS","00","1002","FALSE","10000270"<endrec>
"0","TZS","00","1002","FALSE","10000271"<endrec>
"0","TZS","00","1002","FALSE","10000272"<endrec>
"0","TZS","00","1002","FALSE","10000273"<endrec>
"0","TZS","00","1002","FALSE","10000276"<endrec>
"0","TZS","00","1002","FALSE","10000285"<endrec>
"0","TZS","00","1002","FALSE","10000316"<endrec>
"0","TZS","00","1002","TRUE","10002368"<endrec>
"0","TZS","00","1002","FALSE","10002378"<endrec>
"0","TZS","00","1002","FALSE","10002379"<endrec>
"0","TZS","00","1002","FALSE","10002399"<endrec>
"100","TZS","01","1002","TRUE","10002623"<endrec>
"0","TZS","00","1002","TRUE","10002625"<endrec>
"100","TZS","01","1002","TRUE","10002711"<endrec>
"0","TZS","00","1002","FALSE","10002878"<endrec>
"0","TZS","00","1002","FALSE","10002984"<endrec>
"0","TZS","00","1002","FALSE","10002987"<endrec>
"0","TZS","00","1002","FALSE","10002989"<endrec>
"0","TZS","00","1002","FALSE","10003009"<endrec>
"0","TZS","00","1002","FALSE","10003279"<endrec>
"0","TZS","00","1002","TRUE","10003390"<endrec>
"0","TZS","00","1003","FALSE","10000003"<endrec>
"0","TZS","00","1003","FALSE","10000004"<endrec>
"0","TZS","00","1003","FALSE","10000006"<endrec>
"0","TZS","00","1003","FALSE","10000054"<endrec>
"0","TZS","00","1003","FALSE","10000056"<endrec>
"0","TZS","00","1003","FALSE","10000059"<endrec>
"0","TZS","00","1003","FALSE","10000075"<endrec>
"0","TZS","00","1003","FALSE","10000077"<endrec>
"0","TZS","00","1003","FALSE","10000078"<endrec>
"0","TZS","00","1003","FALSE","10000081"<endrec>
"0","TZS","00","1003","FALSE","10000090"<endrec>
"0","TZS","00","1003","FALSE","10000110"<endrec>
"100","TZS","00","1003","TRUE","10000134"<endrec>
"0","TZS","00","1003","TRUE","10000145"<endrec>
"0","TZS","00","1003","FALSE","10000175"<endrec>
"0","TZS","00","1003","FALSE","10000184"<endrec>
"0","TZS","00","1003","TRUE","10000209"<endrec>
"0","TZS","00","1003","FALSE","10000210"<endrec>
"0","TZS","00","1003","TRUE","10000211"<endrec>
"0","TZS","00","1003","TRUE","10002368"<endrec>
"0","TZS","00","1003","FALSE","10002378"<endrec>
"0","TZS","00","1003","FALSE","10002379"<endrec>
"0","TZS","00","1003","FALSE","10002388"<endrec>
"0","TZS","00","1003","FALSE","10002399"<endrec>
"0","TZS","00","1003","FALSE","10002401"<endrec>
"0","TZS","00","1003","FALSE","10002407"<endrec>
"0","TZS","01","1003","TRUE","10002623"<endrec>
"0","TZS","01","1003","TRUE","10002625"<endrec>
"0","TZS","00","1003","FALSE","10002637"<endrec>
"0","TZS","00","1003","FALSE","10002649"<endrec>
"0","TZS","01","1003","TRUE","10002711"<endrec>
"0","TZS","00","1003","TRUE","10002717"<endrec>
"100","TZS","00","1003","TRUE","10002784"<endrec>
"100","TZS","00","1003","TRUE","10002788"<endrec>
"0","TZS","00","1003","FALSE","10002805"<endrec>
"0","TZS","00","1003","FALSE","10002809"<endrec>
"0","TZS","00","1003","FALSE","10002870"<endrec>
"0","TZS","00","1003","FALSE","10002878"<endrec>
"0","TZS","00","1003","FALSE","10002883"<endrec>
"0","TZS","00","1003","FALSE","10002982"<endrec>
"0","TZS","00","1003","FALSE","10002984"<endrec>
"0","TZS","00","1003","FALSE","10002987"<endrec>
"0","TZS","00","1003","FALSE","10002988"<endrec>
"0","TZS","00","1003","FALSE","10002989"<endrec>
"0","TZS","00","1003","FALSE","10003009"<endrec>
"0","TZS","00","1003","FALSE","10003279"<endrec>
"0","TZS","00","1003","FALSE","10003390"<endrec>
"0","TZS","00","1005","TRUE","10000007"<endrec>
"0","TZS","00","1005","FALSE","10000008"<endrec>
"0","TZS","00","1005","FALSE","10000009"<endrec>
"100","TZS","00","1005","TRUE","10000018"<endrec>
"0","TZS","00","1005","FALSE","10000019"<endrec>
"100","TZS","00","1005","TRUE","10000020"<endrec>
"100","TZS","00","1005","TRUE","10000022"<endrec>
"100","TZS","00","1005","TRUE","10000025"<endrec>
"0","TZS","00","1005","FALSE","10000029"<endrec>
"0","TZS","00","1005","TRUE","10000031"<endrec>
"0","TZS","00","1005","TRUE","10000034"<endrec>
"0","TZS","00","1005","FALSE","10000036"<endrec>
"20000","TZS","00","1005","TRUE","10000039"<endrec>
"0","TZS","00","1005","TRUE","10000042"<endrec>
"0","TZS","00","1005","TRUE","10000043"<endrec>
"0","TZS","00","1005","TRUE","10000051"<endrec>
"0","TZS","00","1005","TRUE","10000055"<endrec>
