ALLOW_ORG_LIMIT,CREATE_OPER_ID,CREATE_OPER_TIME,CROSS_CURRENCIES,DESCRIPTION,END_TIME,HARDORSOFTLIMIT,IDENTITY_STATUS_TO,IS_CHANGE_IDENTITY_STATUS,IS_ONLINE,IS_SEND_NOTIFICATION,LAST_OPER_ID,LAST_OPER_TIME,LIMIT_APPLY_MODE,LIMIT_ERROR_CODE_ID,LIMIT_ERROR_CODE_NAME,LIMIT_RULE_ID,LIMIT_RULE_NAME,LIMIT_TYPE_ID,LOAD_DATA_TS,NOTIFICAION_TYPE_ID,OBJID,OBJTYPE,PERIOD_LENGTH,PERIOD_TYPE,PERIOD_UNIT,PRIORITY_LEVEL,START_TIME,STATUS,TRUST_LEVEL,UNIQUE_ID,WF_FUNCTION_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         <endrec>
"","203000000000010005","2014-03-25 05:34:50.211000","","Maximum Customer Transfer Limit","","1","","1","0","0","203000000000016126","2016-09-05 12:44:10.770000","0","TC70000","Maximum Customer Transfer Value","2","Maximum Customer Transfer Limit","2000","","0","","2","0","0","","30","","50","0","30003196",""<endrec>
"0","203000000000010005","2014-03-25 05:38:11.028000","","Minimum Customer Transfer Limit","","1","","1","0","0","203000000000014911","2018-06-22 12:20:41.023000","0","TC70001","Minimum Customer Transfer Value","3","Minimum Customer Transfer Limit","3000","","0","","2","0","0","","30","","50","0","30003198",""<endrec>
"","203000000000010005","2014-03-25 05:42:12.534000","","Maximum Customer Send Money Limit","","1","","1","0","1","203000000000010276","2015-02-28 19:01:42.248000","","TC70002","Maximum Customer Send Money Value","4","Maximum Customer Send Money Limit","4000","","0","","2","0","0","","30","","50","0","30003200","InvestigateCriticallyHighAccountBalanceWF"<endrec>
"","203000000000010005","2014-03-25 05:43:54.190000","","Minimum Customer Send Money Limit","","1","","1","0","0","203000000000010811","2016-01-15 11:11:00.710000","0","TC70003","Minimum Customer Send Money Value","5","Minimum Customer Send Money Limit","5000","","0","","2","0","0","","30","","50","0","30003202",""<endrec>
"0","203000000000010005","2014-03-25 05:49:00.322000","","Maximum Value Customer Withdrawal At Agent","","1","","1","0","0","203000000000019602","2017-02-24 08:02:02.958000","0","TC70004","Maximum Value Customer Withdrawal At Agent","6","Maximum Value Customer Withdrawal At Agent","6000","","0","","2","0","0","","30","","50","0","30003204",""<endrec>
"","203000000000010005","2014-03-25 05:50:10.645000","","Minimum Value Customer Withdrawal At Agent","","1","","1","0","0","203000000000010005","2014-03-25 05:50:15.070000","","TC70005","Minimum Value Customer Withdrawal At Agent","7","Minimum Value Customer Withdrawal At Agent","7000","","0","","2","0","0","","30","","30","0","30003206",""<endrec>
"","203000000000010005","2014-03-25 05:51:40.058000","","Maximum Value Customer Withdrawal At ATM","","1","","1","0","0","203000000000016126","2016-08-16 11:08:22.901000","0","TC70006","Maximum Value Customer Withdrawal At ATM","8","Maximum Value Customer Withdrawal At ATM","8000","","0","","2","0","0","","30","","50","0","30003208",""<endrec>
"","203000000000010005","2014-03-25 05:52:54.580000","","Minimum Value Customer Withdrawal At ATM","","1","","1","0","0","203000000000010005","2014-03-25 05:53:00.732000","","TC70007","Minimum Value Customer Withdrawal At ATM","9","Minimum Value Customer Withdrawal At ATM","9000","","0","","2","0","0","","30","","30","0","30003210",""<endrec>
"","203000000000010005","2014-03-25 06:01:09.701000","","Maximum Value Customer Buy Airtime","","1","","1","0","0","203000000000010063","2014-09-20 13:00:49.745000","","TC70008","Maximum Value Customer Buy Airtime","10","Maximum Value Customer Buy Airtime","10000","","0","","2","0","0","","30","","30","0","30003212",""<endrec>
"","203000000000010005","2014-03-25 06:02:42.685000","","Minimum Value Customer Buy Airtime","","1","","1","0","0","203000000000010063","2014-09-20 13:01:57.044000","","TC70009","Minimum Value Customer Buy Airtime","11","Minimum Value Customer Buy Airtime","11000","","0","","2","0","0","","30","","30","0","30003214",""<endrec>
