ACCUMULATING_VALUE,ACTIVE_TIME,ACTUAL_CREDIT_DATE,CALCULATE_INTEREST_BY,COMPUTE_CYCLE,CREATE_OPER_ID,CREATE_OPER_TIME,CREDIT_CYCLE,DAYS_OF_YEAR,DESCRIPTION,EXCULE_PERIOD,IS_LOCK,IS_NOTIFICATION,LAST_OPER_ID,LAST_OPER_TIME,MAX_BALANCE,MAX_BALANCE_CHECK,MAX_BALANCE_CHECK_RULE,MAX_NOTIFICATION_BALANCE,MIN_BALANCE,MIN_BALANCE_CHECK,MIN_BALANCE_CHECK_RULE,MIN_BAL_END_DAY,MIN_BAL_START_DAY,MIN_NOTIFICATION_BALANCE,PAYING_CONDITION,PLAN_CATEGORY,PLAN_CODE,PLAN_NAME,RATE_TYPE,REASON_TYPE_ID,REV1,REV2,REV3,REV4,REV5,STATUS,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       <endrec>
"1","2017-05-03 12:42:43.216000","","","365","203000000000013818","2017-03-22 19:29:39.839000","365","1","","0","1","0","203000000000013818","2017-10-26 14:25:12.138000","2500000000","1","1","","0","1","1","","","","11002","0","1","Customer Plan 1 Daily cycle Fixed Pay daily interest","0","10000178","","","","","","50","937294828"<endrec>
"","2017-05-08 11:04:53.765000","","","365","203000000000010806","2017-05-08 11:00:15.511000","365","1","","0","1","0","203000000000010806","2017-05-19 09:02:16.410000","5000000","0","2","","0","0","2","","","","","0","3","Saving Plan Management Default","0","10000151","","","","","","50","937332917"<endrec>
"","2017-05-08 11:18:38.158000","","","365","203000000000010806","2017-05-08 11:18:12.626000","365","1","","0","1","0","203000000000010806","2017-05-19 08:27:28.441000","5000000","0","2","","0","0","2","","","","","0","4","Saving Plan Management Default Interest","0","10003249","","","","","","50","937332925"<endrec>
"","2017-05-17 11:53:09.865000","","","365","203000000000010811","2017-05-17 11:49:26.750000","365","1","","0","1","0","203000000000010811","2017-05-17 12:37:47.430000","100000000","1","2","","0","1","2","","","","","0","5","Saving Plan","0","10003249","","","","","","50","937340962"<endrec>
"1","2017-10-26 14:25:12.146000","","","365","203000000000010805","2017-05-17 12:34:14.898000","365","1","","0","1","0","203000000000010805","2017-10-26 14:25:12.146000","2500000000","1","1","","0","0","1","","","","11002","0","1","Customer Plan 1 Daily cycle Fixed Pay daily interest","0","10000178","","","","","","30","937340965"<endrec>
"","2017-05-17 12:37:47.444000","","","365","203000000000010811","2017-05-17 12:37:20.001000","365","1","","0","1","0","203000000000010811","2017-10-20 12:20:23.485000","100000000","1","2","","0","0","2","","","","","0","5","Saving Plan","0","10003249","","","","","","50","937340967"<endrec>
"","2017-05-19 07:39:24.055000","6","","52","203000000000014911","2017-05-19 07:38:31.896000","52","2","","0","1","0","203000000000014911","2018-06-21 11:06:06.345000","10000000","1","2","","50000","1","2","","","","","0","6","Saving Plan Amount Weekly for Customer","0","10003249","","","","","","50","937342875"<endrec>
"","2017-05-19 08:27:28.448000","","","365","203000000000014909","2017-05-19 08:26:59.173000","365","1","","0","1","0","203000000000014909","2017-05-24 13:16:31.639000","5000000","1","2","","0","1","2","","","","","0","4","Saving Plan Management Default Interest","0","10003249","","","","","","50","937342882"<endrec>
"","2017-05-19 09:02:16.430000","","","365","203000000000014911","2017-05-19 09:01:13.258000","365","1","","0","1","0","203000000000014911","2017-05-24 11:58:05.215000","5000000","1","2","","0","1","2","","","","","0","3","Saving Plan Management Default","0","10000151","","","","","","50","937342887"<endrec>
"","2017-05-22 09:45:34.796000","","","365","203000000000014911","2017-05-22 09:45:07.743000","365","1","","0","1","0","203000000000014911","2017-05-22 09:56:24.281000","5000000","1","2","","0","1","2","","","","","0","7","Saving Plan Management Default for Group","0","10003499","","","","","","50","937343881"<endrec>
"","2017-05-22 09:56:24.288000","","","365","203000000000014909","2017-05-22 09:55:52.346000","365","1","","0","1","0","203000000000014909","2017-05-24 12:38:33.272000","5000000","1","2","","0","1","2","","","","","0","7","Saving Plan Management Default for Group","0","10003499","","","","","","50","937343887"<endrec>
"","2017-05-22 13:15:44.271000","","","365","203000000000014911","2017-05-22 13:03:27.106000","365","1","","0","1","0","203000000000014911","2017-05-24 13:35:56.709000","5000000","1","2","","0","1","2","","","","","0","8","Saving Plan Management Default for Organization","0","10003500","","","","","","50","937343902"<endrec>
"","2017-10-26 08:26:51.985000","","","365","203000000000015725","2017-05-22 14:16:26.867000","365","1","","0","1","0","203000000000015725","2017-10-26 08:26:51.985000","5000000","1","2","","0","1","2","","","","","0","9","Saving Plan test1","0","10000151","","","","","","30","937343915"<endrec>
"","2017-05-23 10:55:14.887000","","","365","203000000000010811","2017-05-23 10:54:32.698000","365","1","","0","1","0","203000000000010811","2017-05-23 10:55:14.887000","1000000","1","2","","0","1","2","","","","","0","10","Saving Plan for Organisation","0","10000151","","","","","","30","937344881"<endrec>
"","2017-05-23 11:13:39.786000","6","","52","203000000000014911","2017-05-23 11:13:09.943000","52","1","","0","1","0","203000000000014911","2017-05-23 11:13:39.786000","5000000","1","2","","0","1","2","","","","","0","11","Saving Plan Management Default Interest Weekly","0","10003249","","","","","","30","937344899"<endrec>
"","2017-05-24 11:58:05.223000","","","365","203000000000014911","2017-05-24 11:56:54.448000","365","1","","0","1","0","203000000000014911","2017-07-27 11:55:49.747000","5000000","0","2","","0","1","2","","","","","0","3","Saving Plan Management Default","0","10000151","","","","","","50","937345895"<endrec>
"","2017-05-24 12:38:33.276000","","","365","203000000000014911","2017-05-24 12:38:07.474000","365","1","","0","1","0","203000000000014911","2017-05-30 09:04:10.890000","5000000","0","2","","0","1","2","","","","","0","7","Saving Plan Management Default for Group","0","10003499","","","","","","50","937345899"<endrec>
"","2017-05-24 13:16:31.644000","","","365","203000000000015725","2017-05-24 13:15:47.290000","365","1","","0","1","0","203000000000015725","2017-05-24 13:25:03.946000","5000000","0","2","","0","1","2","","","","","0","4","Saving Plan Management Default Interest","0","10003249","","","","","","50","937346904"<endrec>
"","2017-05-24 13:25:03.951000","","","365","203000000000015725","2017-05-24 13:18:58.919000","365","1","","0","1","0","203000000000015725","2017-05-24 13:42:18.054000","5000000","1","2","","0","1","2","","","","","0","4","Saving Plan Management Default Interest","0","10003249","","","","","","50","937346906"<endrec>
"","2017-05-24 13:35:56.725000","","","365","203000000000015725","2017-05-24 13:35:11.822000","365","1","","0","1","0","203000000000015725","2017-05-26 07:32:31.537000","5000000","0","2","","0","1","2","","","","","0","8","Saving Plan Management Default for Organization","0","10003500","","","","","","50","937346910"<endrec>
"","2017-05-24 13:42:18.058000","","","365","203000000000015725","2017-05-24 13:41:38.269000","365","1","","0","1","0","203000000000015725","2017-05-25 06:55:19.495000","5000000","0","2","","0","1","2","","","","","0","4","Saving Plan Management Default Interest","0","10003249","","","","","","50","937346913"<endrec>
